question,nan,yes,no,dk,refused,answered,total,labeled_question,answered_nicely,answered_badly,p_nan,p_yes,p_no,p_dk,p_refused,p_bad,p_yes_adj,p_no_adj
female,0,71330,83593,0,0,154923,154923,Is female?,154923,0,0.0,46.04,53.96,0.0,0.0,0.0,46.04,53.96
emp_in,0,96541,58382,0,0,154923,154923,Is employed/in workforce?,154923,0,0.0,62.32,37.68,0.0,0.0,0.0,62.32,37.68
fin2,0,69925,83334,1165,499,154923,154923,Has a debit card?,153259,1664,0.0,45.63,54.37,0.75,0.32,1.07,45.63,54.37
fin3,84998,66146,3291,330,158,69925,154923,Is debit card under own legal name?,69437,488,54.86,95.26,4.74,0.47,0.23,0.7,43.0,2.14
fin4,88777,46625,19338,115,68,66146,154923,Have used debit card recently?,65963,183,57.3,70.68,29.32,0.17,0.1,0.28,30.18,12.52
fin5,70773,32344,51453,252,101,84150,154923,Have used mobile/internet banking recently?,83797,353,45.68,38.6,61.4,0.3,0.12,0.42,20.97,33.35
fin6,70773,37728,45974,335,113,84150,154923,Have used mobile/internet to check funds?,83702,448,45.68,45.07,54.93,0.4,0.13,0.53,24.48,29.84
fin7,0,30098,122500,1726,599,154923,154923,Has credit card?,152598,2325,0.0,19.72,80.28,1.11,0.39,1.5,19.72,80.28
fin8,124825,25444,4543,80,31,30098,154923,Have used credit card recently?,29987,111,80.57,84.85,15.15,0.27,0.1,0.37,16.49,2.94
fin9,68386,68138,17760,338,301,86537,154923,Have deposit activity recently?,85898,639,44.14,79.32,20.68,0.39,0.35,0.74,44.31,11.55
fin10,68386,69610,16269,342,316,86537,154923,Have withdrawal activity recently?,85879,658,44.14,81.06,18.94,0.4,0.37,0.76,45.28,10.58
fin11a,86537,14268,51491,2106,521,68386,154923,No account because too far away?,65759,2627,55.86,21.7,78.3,3.08,0.76,3.84,9.58,34.56
fin11b,86537,20506,43051,4320,509,68386,154923,No account because too expensive?,63557,4829,55.86,32.26,67.74,6.32,0.74,7.06,14.24,29.9
fin11c,86537,14790,51149,1954,493,68386,154923,No account because no documentation?,65939,2447,55.86,22.43,77.57,2.86,0.72,3.58,9.9,34.24
fin11d,86537,12753,52351,2719,563,68386,154923,No account because no trust?,65104,3282,55.86,19.59,80.41,3.98,0.82,4.8,8.65,35.49
fin11e,86537,4696,61088,2092,510,68386,154923,No account because of religion?,65784,2602,55.86,7.14,92.86,3.06,0.75,3.8,3.15,40.99
fin11f,86537,44198,22493,1210,485,68386,154923,No account because no money?,66691,1695,55.86,66.27,33.73,1.77,0.71,2.48,29.25,14.89
fin11g,86537,12418,53243,2179,546,68386,154923,No account because someone close already had one?,65661,2725,55.86,18.91,81.09,3.19,0.8,3.98,8.35,35.79
fin11h,86537,19266,46546,2060,514,68386,154923,No account because no need for banking?,65812,2574,55.86,29.27,70.73,3.01,0.75,3.76,12.92,31.22
