labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,74.35,68.89,63.4,67.44,68.15,74.87,80.84,5.46,17.44,13.4,12.69,5.97
Has a debit card?,52.67,47.95,36.8,45.53,45.76,55.43,63.81,4.72,27.01,18.28,18.05,8.38
Have used debit card in past 12 months?,30.05,27.4,18.65,23.7,25.47,32.71,39.99,2.65,21.34,16.29,14.52,7.28
Has a credit card?,25.54,21.91,13.86,17.1,18.46,28.01,37.41,3.63,23.55,20.31,18.95,9.4
Have used credit card in past 12 months?,23.12,19.93,11.71,15.17,16.72,25.8,34.66,3.19,22.95,19.49,17.94,8.86
Has incoming deposit activity?,59.4,52.22,41.51,50.77,53.0,61.05,68.12,7.18,26.61,17.35,15.12,7.07
Has withdrawal activity?,59.34,54.06,43.25,52.3,54.33,61.44,68.24,5.28,24.99,15.94,13.91,6.8
Have made transactions on mobile?,10.91,8.74,4.8,6.01,7.71,11.7,16.93,2.17,12.13,10.92,9.22,5.23
Have made transaction on internet?,19.17,17.24,8.38,12.1,14.48,22.44,30.54,1.93,22.16,18.44,16.06,8.1
Borrowed money from financial institutions?,15.01,14.35,12.39,12.8,14.3,17.1,16.31,0.66,3.92,3.51,2.01,-0.79
Borrowed money from close relationships?,24.06,21.38,24.95,23.89,23.75,21.88,19.18,2.68,-5.77,-4.71,-4.57,-2.7
Received wage payment recently?,44.45,30.78,24.83,32.07,36.84,42.87,46.11,13.67,21.28,14.04,9.27,3.24
Received wage payment by banking?,27.56,18.32,12.15,15.68,19.68,27.73,34.68,9.24,22.53,19.0,15.0,6.95
Received gov transfers recently?,18.57,16.51,23.48,21.26,18.11,14.72,10.98,2.06,-12.5,-10.28,-7.13,-3.74
Received gov transfers by banking?,12.21,10.22,13.86,14.11,11.46,9.51,7.37,1.99,-6.49,-6.74,-4.09,-2.14
Has saved money recently?,70.31,66.14,54.13,61.24,68.86,74.09,79.41,4.17,25.28,18.17,10.55,5.32
Has borrowed money recently?,40.86,39.15,40.95,39.2,40.53,42.19,37.29,1.71,-3.66,-1.91,-3.24,-4.9
