labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,58.24,56.59,48.56,49.93,56.57,58.62,67.41,1.65,18.85,17.48,10.84,8.79
Has a debit card?,44.08,40.29,33.99,34.76,39.28,42.31,53.48,3.79,19.49,18.72,14.2,11.17
Have used debit card in past 12 months?,30.56,29.07,23.49,24.07,27.32,29.18,39.9,1.49,16.41,15.83,12.58,10.72
Has a credit card?,16.3,12.9,11.12,11.59,12.27,13.52,20.47,3.4,9.35,8.88,8.2,6.95
Have used credit card in past 12 months?,13.32,10.13,8.36,9.24,9.84,10.89,16.67,3.19,8.31,7.43,6.83,5.78
Has incoming deposit activity?,45.86,43.23,34.27,36.85,43.67,46.2,54.87,2.63,20.6,18.02,11.2,8.67
Has withdrawal activity?,46.91,43.79,34.93,37.56,44.26,47.1,55.73,3.12,20.8,18.17,11.47,8.63
Have made transactions on mobile?,6.22,5.04,4.41,4.17,4.43,5.25,8.27,1.18,3.86,4.1,3.84,3.02
Have made transaction on internet?,15.77,14.73,11.68,12.06,11.53,15.02,22.57,1.04,10.89,10.51,11.04,7.55
Borrowed money from financial institutions?,13.54,12.06,10.2,11.96,11.89,13.41,14.72,1.48,4.52,2.76,2.83,1.31
Borrowed money from close relationships?,21.73,21.21,26.23,24.18,20.46,19.71,18.63,0.52,-7.6,-5.55,-1.83,-1.08
Received wage payment recently?,47.85,37.15,33.0,34.62,36.83,42.36,54.85,10.7,21.85,20.23,18.02,12.49
Received wage payment by banking?,31.13,26.41,20.17,22.15,24.41,28.89,40.59,4.72,20.42,18.44,16.18,11.7
Received gov transfers recently?,14.03,20.13,22.31,20.25,20.27,16.31,11.85,-6.1,-10.46,-8.4,-8.42,-4.46
Received gov transfers by banking?,8.05,12.27,13.12,11.61,11.7,9.93,7.78,-4.22,-5.34,-3.83,-3.92,-2.15
Has saved money recently?,41.23,38.9,30.07,34.19,38.45,42.85,48.69,2.33,18.62,14.5,10.24,5.84
Has borrowed money recently?,39.03,36.85,41.41,39.46,36.42,36.46,36.31,2.18,-5.1,-3.15,-0.11,-0.15
