labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,95.67,93.71,90.72,93.4,94.31,95.87,97.24,1.96,6.52,3.84,2.93,1.37
Has a debit card?,83.67,81.11,73.79,80.57,81.82,85.31,86.86,2.56,13.07,6.29,5.04,1.55
Have used debit card in past 12 months?,72.74,70.56,60.91,68.52,71.22,75.63,77.45,2.18,16.54,8.93,6.23,1.82
Has a credit card?,54.81,48.06,37.64,42.62,49.24,56.43,63.43,6.75,25.79,20.81,14.19,7.0
Have used credit card in past 12 months?,48.05,41.24,31.83,36.32,41.8,49.23,56.57,6.81,24.74,20.25,14.77,7.34
Has incoming deposit activity?,88.45,84.82,76.96,84.11,86.79,89.31,91.78,3.63,14.82,7.67,4.99,2.47
Has withdrawal activity?,88.91,86.13,78.4,85.54,87.92,89.76,92.19,2.78,13.79,6.65,4.27,2.43
Have made transactions on mobile?,19.56,15.2,15.32,15.67,16.17,18.45,19.51,4.36,4.19,3.84,3.34,1.06
Have made transaction on internet?,57.84,49.56,43.94,48.14,50.73,58.39,61.46,8.28,17.52,13.32,10.73,3.07
Borrowed money from financial institutions?,20.87,17.12,16.3,18.72,18.6,20.07,19.89,3.75,3.59,1.17,1.29,-0.18
Borrowed money from close relationships?,12.64,11.95,20.34,14.92,11.25,9.78,8.2,0.69,-12.14,-6.72,-3.05,-1.58
Received wage payment recently?,56.26,49.54,44.91,49.11,50.03,56.04,59.7,6.72,14.79,10.59,9.67,3.66
Received wage payment by banking?,51.88,45.59,39.19,44.31,45.86,52.53,56.49,6.29,17.3,12.18,10.63,3.96
Received gov transfers recently?,25.08,29.31,34.36,33.86,30.42,23.38,18.79,-4.23,-15.57,-15.07,-11.63,-4.59
Received gov transfers by banking?,21.72,24.86,28.62,29.09,26.03,20.56,16.0,-3.14,-12.62,-13.09,-10.03,-4.56
Has saved money recently?,72.56,67.99,58.6,64.09,69.1,74.81,78.77,4.57,20.17,14.68,9.67,3.96
Has borrowed money recently?,38.77,34.92,40.79,38.41,35.38,36.55,34.21,3.85,-6.58,-4.2,-1.17,-2.34
