labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,49.8,42.9,31.26,37.12,41.42,51.25,62.11,6.9,30.85,24.99,20.69,10.86
Has a debit card?,35.28,28.12,16.67,22.62,27.63,35.96,47.08,7.16,30.41,24.46,19.45,11.12
Have used debit card in past 12 months?,23.1,16.98,9.06,11.93,16.56,22.57,33.03,6.12,23.97,21.1,16.47,10.46
Has a credit card?,18.08,14.6,6.77,10.1,12.88,19.01,27.56,3.48,20.79,17.46,14.68,8.55
Have used credit card in past 12 months?,14.8,12.41,5.33,7.9,10.73,16.11,23.46,2.39,18.13,15.56,12.73,7.35
Has incoming deposit activity?,33.75,27.13,15.89,21.03,25.64,34.62,46.55,6.62,30.66,25.52,20.91,11.93
Has withdrawal activity?,36.43,29.15,17.05,23.88,28.54,37.27,48.49,7.28,31.44,24.61,19.95,11.22
Have made transactions on mobile?,4.07,2.51,1.71,1.88,2.31,4.18,5.07,1.56,3.36,3.19,2.76,0.89
Have made transaction on internet?,7.44,4.9,2.72,3.17,3.89,7.47,10.93,2.54,8.21,7.76,7.04,3.46
Borrowed money from financial institutions?,14.51,12.77,8.91,10.19,13.32,15.22,18.09,1.74,9.18,7.9,4.77,2.87
Borrowed money from close relationships?,16.0,12.85,12.97,14.41,16.17,14.4,13.13,3.15,0.16,-1.28,-3.04,-1.27
Received wage payment recently?,35.88,22.17,19.59,22.85,27.71,30.39,36.31,13.71,16.72,13.46,8.6,5.92
Received wage payment by banking?,16.73,10.28,5.79,8.16,10.86,15.27,21.89,6.45,16.1,13.73,11.03,6.62
Received gov transfers recently?,9.71,13.71,17.57,13.95,11.79,9.97,8.36,-4.0,-9.21,-5.59,-3.43,-1.61
Received gov transfers by banking?,4.22,6.81,8.25,6.45,5.6,4.92,4.02,-2.59,-4.23,-2.43,-1.58,-0.9
Has saved money recently?,50.61,43.04,34.67,40.03,44.56,50.06,57.62,7.57,22.95,17.59,13.06,7.56
Has borrowed money recently?,39.57,35.42,31.84,34.32,38.54,39.57,40.11,4.15,8.27,5.79,1.57,0.54
