labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Have an account?,69.37,55.56,54.62,59.71,60.82,67.49,69.46,13.81,14.84,9.75,8.64,1.97
Has a debit card?,57.15,41.58,41.74,45.81,46.85,55.25,57.02,15.57,15.28,11.21,10.17,1.77
Have used debit card in past 12 months?,40.37,30.24,28.49,31.62,32.74,40.98,41.84,10.13,13.35,10.22,9.1,0.86
Has a credit card?,25.01,17.37,13.11,17.87,19.85,24.91,28.78,7.64,15.67,10.91,8.93,3.87
Have used credit card in past 12 months?,21.21,14.82,10.13,14.68,16.84,21.25,25.57,6.39,15.44,10.89,8.73,4.32
Has incoming deposit activity?,54.49,40.71,36.74,43.89,46.1,53.51,56.66,13.78,19.92,12.77,10.56,3.15
Has withdrawal activity?,53.98,41.46,37.7,45.0,46.16,52.79,56.01,12.52,18.31,11.01,9.85,3.22
Have made transactions on mobile?,10.42,5.79,5.65,7.21,6.53,8.93,11.94,4.63,6.29,4.73,5.41,3.01
Have made transaction on internet?,23.24,16.19,13.68,16.42,17.43,23.37,26.5,7.05,12.82,10.08,9.07,3.13
Borrowed money from financial institutions?,15.03,9.64,10.44,11.29,11.29,13.6,15.15,5.39,4.71,3.86,3.86,1.55
Borrowed money from close relationships?,26.43,23.3,31.63,27.8,24.24,23.14,20.06,3.13,-11.57,-7.74,-4.18,-3.08
Received wage payment recently?,37.68,22.64,21.66,27.24,28.17,36.38,37.14,15.04,15.48,9.9,8.97,0.76
Received wage payment by banking?,27.66,17.7,13.75,19.83,20.82,27.93,29.9,9.96,16.15,10.07,9.08,1.97
Received gov transfers recently?,10.48,12.59,13.44,14.84,11.11,10.84,8.12,-2.11,-5.32,-6.72,-2.99,-2.72
Received gov transfers by banking?,7.68,9.29,8.69,10.89,8.48,8.68,6.0,-1.61,-2.69,-4.89,-2.48,-2.68
Has saved money recently?,54.01,47.11,42.19,44.2,46.83,55.78,61.24,6.9,19.05,17.04,14.41,5.46
Has borrowed money recently?,47.7,40.08,48.5,45.76,43.37,43.08,41.32,7.62,-7.18,-4.44,-2.05,-1.76
