labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has a debit card?,45.77,39.05,29.08,33.8,39.76,48.1,56.03,6.72,26.95,22.23,16.27,7.93
Have used debit card recently?,20.88,17.96,9.2,12.71,18.14,23.78,30.12,2.92,20.92,17.41,11.98,6.34
Have used mobile/internet banking recently?,18.47,14.75,6.69,9.89,14.97,20.75,27.24,3.72,20.55,17.35,12.27,6.49
Have used mobile/internet to check funds?,20.48,15.72,7.46,11.46,15.98,22.43,29.17,4.76,21.71,17.71,13.19,6.74
Has credit card?,12.78,9.17,4.95,6.63,9.32,13.27,17.91,3.61,12.96,11.28,8.59,4.64
Have used credit card recently?,10.79,7.81,3.78,5.35,7.74,11.32,15.86,2.98,12.08,10.51,8.12,4.54
Have deposit activity recently?,39.91,34.46,22.05,28.16,35.34,43.45,52.02,5.45,29.97,23.86,16.68,8.57
Have withdrawal activity recently?,41.87,36.32,24.63,30.43,36.99,44.43,54.04,5.55,29.41,23.61,17.05,9.61
Borrowed money for emergency recently?,9.11,8.41,11.18,9.3,9.25,7.92,6.27,0.7,-4.91,-3.03,-2.98,-1.65
Borrowed from formal institutions?,14.87,15.99,12.75,14.83,15.15,16.5,17.97,-1.12,5.22,3.14,2.82,1.47
Borrowed from close relationships?,28.04,26.89,31.76,29.15,27.89,25.33,23.41,1.15,-8.35,-5.74,-4.48,-1.92
Have emergency funds ready in a month?,57.75,51.32,28.98,44.34,54.8,64.77,73.98,6.43,45.0,29.64,19.18,9.21
Received wage payment from employer recently?,40.13,27.41,21.39,28.56,32.35,38.8,41.24,12.72,19.85,12.68,8.89,2.44
Received wages through banking?,17.62,12.27,4.82,9.23,13.03,18.49,25.13,5.35,20.31,15.9,12.1,6.64
Received financial support from gov recently?,16.43,16.37,21.75,17.8,15.11,15.56,12.3,0.06,-9.45,-5.5,-2.81,-3.26
Received gov transfers by banking?,11.53,10.02,12.72,10.14,9.72,10.47,10.16,1.51,-2.56,0.02,0.44,-0.31
Owns a mobile phone?,86.38,80.57,72.66,80.37,83.05,87.1,90.7,5.81,18.04,10.33,7.65,3.6
Owns a mobile money account?,4.69,3.88,1.84,3.3,4.21,4.72,6.65,0.81,4.81,3.35,2.44,1.93
Owns an account?,61.67,55.48,47.32,51.45,55.63,62.41,71.21,6.19,23.89,19.76,15.58,8.8
Has saved money recently?,54.47,50.26,33.8,43.54,51.46,60.76,67.86,4.21,34.06,24.32,16.4,7.1
Has borrowed money recently?,49.33,47.84,45.92,47.02,47.68,48.8,52.26,1.49,6.34,5.24,4.58,3.46
