labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has a debit card?,77.93,70.97,61.95,69.44,72.82,78.98,85.72,6.96,23.77,16.28,12.9,6.74
Have used debit card recently?,59.6,52.79,39.65,48.71,55.02,61.62,71.18,6.81,31.53,22.47,16.16,9.56
Have used mobile/internet banking recently?,38.43,31.89,20.65,26.44,32.98,40.96,50.07,6.54,29.42,23.63,17.09,9.11
Have used mobile/internet to check funds?,46.37,38.19,27.48,33.27,41.52,46.97,57.68,8.18,30.2,24.41,16.16,10.71
Has credit card?,37.84,32.6,21.2,27.42,33.42,38.85,50.59,5.24,29.39,23.17,17.17,11.74
Have used credit card recently?,33.52,28.13,17.36,23.4,29.35,34.79,44.92,5.39,27.56,21.52,15.57,10.13
Have deposit activity recently?,75.01,66.59,54.86,64.76,70.65,76.51,83.27,8.42,28.41,18.51,12.62,6.76
Have withdrawal activity recently?,76.37,69.79,58.65,67.76,72.86,78.07,84.35,6.58,25.7,16.59,11.49,6.28
Borrowed money for emergency recently?,6.8,6.02,8.48,7.39,6.68,5.41,4.9,0.78,-3.58,-2.49,-1.78,-0.51
Borrowed from formal institutions?,17.34,11.74,8.93,11.14,15.23,17.04,19.18,5.6,10.25,8.04,3.95,2.14
Borrowed from close relationships?,18.87,14.93,20.6,21.2,17.31,14.49,13.13,3.94,-7.47,-8.07,-4.18,-1.36
Have emergency funds ready in a month?,63.09,57.92,40.4,49.7,57.95,67.75,80.04,5.17,39.64,30.34,22.09,12.29
Received wage payment from employer recently?,63.79,44.85,44.19,49.56,55.51,57.48,63.98,18.94,19.79,14.42,8.47,6.5
Received wages through banking?,51.36,36.8,30.62,36.55,45.15,48.57,56.75,14.56,26.13,20.2,11.6,8.18
Received financial support from gov recently?,16.25,21.12,23.69,22.65,19.74,14.97,13.8,-4.87,-9.89,-8.85,-5.94,-1.17
Received gov transfers by banking?,16.42,20.39,17.91,19.56,20.01,17.95,16.47,-3.97,-1.44,-3.09,-3.54,-1.48
Owns a mobile phone?,96.35,93.1,92.07,93.92,93.76,95.7,97.63,3.25,5.56,3.71,3.87,1.93
Owns a mobile money account?,3.56,1.66,2.09,1.73,3.01,3.26,2.97,1.9,0.88,1.24,-0.04,-0.29
Owns an account?,87.88,81.87,76.46,81.14,84.06,88.5,92.14,6.01,15.68,11.0,8.08,3.64
Has saved money recently?,58.28,54.02,41.95,48.99,53.39,60.43,71.22,4.26,29.27,22.23,17.83,10.79
Has borrowed money recently?,55.96,47.59,42.94,48.06,51.13,53.3,61.42,8.37,18.48,13.36,10.29,8.12
