labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has a debit card?,35.54,26.36,15.51,21.24,26.43,33.63,47.45,9.18,31.94,26.21,21.02,13.82
Have used debit card recently?,18.61,13.15,5.61,8.8,12.28,17.6,28.15,5.46,22.54,19.35,15.87,10.55
Have used mobile/internet banking recently?,9.02,5.66,1.68,3.73,5.15,8.11,14.05,3.36,12.37,10.32,8.9,5.94
Have used mobile/internet to check funds?,12.6,8.2,2.95,6.01,8.15,11.3,18.54,4.4,15.59,12.53,10.39,7.24
Has credit card?,15.13,9.62,3.96,7.46,9.06,14.16,21.29,5.51,17.33,13.83,12.23,7.13
Have used credit card recently?,12.35,7.97,3.26,5.61,7.06,11.62,18.2,4.38,14.94,12.59,11.14,6.58
Have deposit activity recently?,32.08,23.24,11.45,17.51,23.65,30.36,44.8,8.84,33.35,27.29,21.15,14.44
Have withdrawal activity recently?,32.31,24.19,12.42,18.11,23.65,31.38,45.49,8.12,33.07,27.38,21.84,14.11
Borrowed money for emergency recently?,10.53,10.9,10.94,11.79,11.93,10.3,9.26,-0.37,-1.68,-2.53,-2.67,-1.04
Borrowed from formal institutions?,12.97,10.52,6.24,8.94,10.97,12.23,17.21,2.45,10.97,8.27,6.24,4.98
Borrowed from close relationships?,16.98,14.27,12.82,15.15,15.4,15.29,17.41,2.71,4.59,2.26,2.01,2.12
Have emergency funds ready in a month?,53.74,37.81,24.77,33.94,40.52,49.53,64.84,15.93,40.07,30.9,24.32,15.31
Received wage payment from employer recently?,36.99,21.64,14.87,23.45,27.15,31.58,37.91,15.35,23.04,14.46,10.76,6.33
Received wages through banking?,16.52,9.12,3.69,6.99,9.59,14.51,22.16,7.4,18.47,15.17,12.57,7.65
Received financial support from gov recently?,10.24,13.12,16.31,14.05,11.97,10.01,8.85,-2.88,-7.46,-5.2,-3.12,-1.16
Received gov transfers by banking?,6.25,7.73,7.69,7.36,7.28,6.42,7.09,-1.48,-0.6,-0.27,-0.19,0.67
Owns a mobile phone?,80.46,76.22,68.31,73.32,77.76,81.06,86.05,4.24,17.74,12.73,8.29,4.99
Owns a formal banking account?,52.34,44.13,31.12,37.84,44.89,51.93,65.09,8.21,33.97,27.25,20.2,13.16
Owns a mobile money account?,7.16,4.56,3.46,4.33,4.19,5.98,8.98,2.6,5.52,4.65,4.79,3.0
Has saved money recently?,45.86,35.79,25.31,32.63,36.64,43.29,55.76,10.07,30.45,23.13,19.12,12.47
Has borrowed money recently?,39.02,33.35,25.68,32.19,33.46,38.12,45.28,5.67,19.6,13.09,11.82,7.16
